time,subject,fuzzer,run,cov_type,cov
1613308289,lightftp,aflnet,1,l_per,37.0
1613308289,lightftp,aflnet,1,l_abs,417
1613308289,lightftp,aflnet,1,b_per,20.3
1613308289,lightftp,aflnet,1,b_abs,164
1613308292,lightftp,aflnet,1,l_per,38.9
1613308292,lightftp,aflnet,1,l_abs,438
1613308292,lightftp,aflnet,1,b_per,22.5
1613308292,lightftp,aflnet,1,b_abs,182
1613308300,lightftp,aflnet,1,l_per,39.7
1613308300,lightftp,aflnet,1,l_abs,447
1613308300,lightftp,aflnet,1,b_per,23.9
1613308300,lightftp,aflnet,1,b_abs,193
1613308304,lightftp,aflnet,1,l_per,39.8
1613308304,lightftp,aflnet,1,l_abs,448
1613308304,lightftp,aflnet,1,b_per,24.4
1613308304,lightftp,aflnet,1,b_abs,197
1613308310,lightftp,aflnet,1,l_per,40.3
1613308310,lightftp,aflnet,1,l_abs,454
1613308310,lightftp,aflnet,1,b_per,24.8
1613308310,lightftp,aflnet,1,b_abs,201
1613308321,lightftp,aflnet,1,l_per,40.7
1613308321,lightftp,aflnet,1,l_abs,459
1613308321,lightftp,aflnet,1,b_per,25.0
1613308321,lightftp,aflnet,1,b_abs,202
1613308330,lightftp,aflnet,1,l_per,41.0
1613308330,lightftp,aflnet,1,l_abs,462
1613308330,lightftp,aflnet,1,b_per,25.1
1613308330,lightftp,aflnet,1,b_abs,203
1613308347,lightftp,aflnet,1,l_per,42.1
1613308347,lightftp,aflnet,1,l_abs,474
1613308347,lightftp,aflnet,1,b_per,25.5
1613308347,lightftp,aflnet,1,b_abs,206
1613308357,lightftp,aflnet,1,l_per,42.9
1613308357,lightftp,aflnet,1,l_abs,484
1613308357,lightftp,aflnet,1,b_per,25.8
1613308357,lightftp,aflnet,1,b_abs,209
1613308372,lightftp,aflnet,1,l_per,43.2
1613308372,lightftp,aflnet,1,l_abs,487
1613308372,lightftp,aflnet,1,b_per,26.0
1613308372,lightftp,aflnet,1,b_abs,210
1613308376,lightftp,aflnet,1,l_per,43.2
1613308376,lightftp,aflnet,1,l_abs,487
1613308376,lightftp,aflnet,1,b_per,26.0
1613308376,lightftp,aflnet,1,b_abs,210
1613308383,lightftp,aflnet,1,l_per,43.2
1613308383,lightftp,aflnet,1,l_abs,487
1613308383,lightftp,aflnet,1,b_per,26.0
1613308383,lightftp,aflnet,1,b_abs,210
1613308402,lightftp,aflnet,1,l_per,43.2
1613308402,lightftp,aflnet,1,l_abs,487
1613308402,lightftp,aflnet,1,b_per,26.0
1613308402,lightftp,aflnet,1,b_abs,210
1613308421,lightftp,aflnet,1,l_per,43.7
1613308421,lightftp,aflnet,1,l_abs,492
1613308421,lightftp,aflnet,1,b_per,26.2
1613308421,lightftp,aflnet,1,b_abs,212
1613308453,lightftp,aflnet,1,l_per,43.9
1613308453,lightftp,aflnet,1,l_abs,495
1613308453,lightftp,aflnet,1,b_per,26.3
1613308453,lightftp,aflnet,1,b_abs,213
1613308465,lightftp,aflnet,1,l_per,44.3
1613308465,lightftp,aflnet,1,l_abs,499
1613308465,lightftp,aflnet,1,b_per,26.6
1613308465,lightftp,aflnet,1,b_abs,215
1613308504,lightftp,aflnet,1,l_per,44.8
1613308504,lightftp,aflnet,1,l_abs,505
1613308504,lightftp,aflnet,1,b_per,26.8
1613308504,lightftp,aflnet,1,b_abs,217
1613308545,lightftp,aflnet,1,l_per,45.0
1613308545,lightftp,aflnet,1,l_abs,507
1613308545,lightftp,aflnet,1,b_per,27.1
1613308545,lightftp,aflnet,1,b_abs,219
1613308578,lightftp,aflnet,1,l_per,45.0
1613308578,lightftp,aflnet,1,l_abs,507
1613308578,lightftp,aflnet,1,b_per,27.1
1613308578,lightftp,aflnet,1,b_abs,219
1613308615,lightftp,aflnet,1,l_per,45.6
1613308615,lightftp,aflnet,1,l_abs,514
1613308615,lightftp,aflnet,1,b_per,27.7
1613308615,lightftp,aflnet,1,b_abs,224
1613308626,lightftp,aflnet,1,l_per,45.7
1613308626,lightftp,aflnet,1,l_abs,515
1613308626,lightftp,aflnet,1,b_per,27.9
1613308626,lightftp,aflnet,1,b_abs,226
1613308636,lightftp,aflnet,1,l_per,45.9
1613308636,lightftp,aflnet,1,l_abs,517
1613308636,lightftp,aflnet,1,b_per,28.2
1613308636,lightftp,aflnet,1,b_abs,228
1613308645,lightftp,aflnet,1,l_per,45.9
1613308645,lightftp,aflnet,1,l_abs,517
1613308645,lightftp,aflnet,1,b_per,28.2
1613308645,lightftp,aflnet,1,b_abs,228
1613308657,lightftp,aflnet,1,l_per,46.1
1613308657,lightftp,aflnet,1,l_abs,519
1613308657,lightftp,aflnet,1,b_per,28.4
1613308657,lightftp,aflnet,1,b_abs,230
1613308666,lightftp,aflnet,1,l_per,47.0
1613308666,lightftp,aflnet,1,l_abs,530
1613308666,lightftp,aflnet,1,b_per,29.3
1613308666,lightftp,aflnet,1,b_abs,237
1613308683,lightftp,aflnet,1,l_per,47.5
1613308683,lightftp,aflnet,1,l_abs,535
1613308683,lightftp,aflnet,1,b_per,29.9
1613308683,lightftp,aflnet,1,b_abs,242
1613308719,lightftp,aflnet,1,l_per,50.5
1613308719,lightftp,aflnet,1,l_abs,569
1613308719,lightftp,aflnet,1,b_per,32.1
1613308719,lightftp,aflnet,1,b_abs,260
1613308738,lightftp,aflnet,1,l_per,50.7
1613308738,lightftp,aflnet,1,l_abs,571
1613308738,lightftp,aflnet,1,b_per,32.4
1613308738,lightftp,aflnet,1,b_abs,262
1613308769,lightftp,aflnet,1,l_per,51.7
1613308769,lightftp,aflnet,1,l_abs,583
1613308769,lightftp,aflnet,1,b_per,33.4
1613308769,lightftp,aflnet,1,b_abs,270
1613308796,lightftp,aflnet,1,l_per,52.1
1613308796,lightftp,aflnet,1,l_abs,587
1613308796,lightftp,aflnet,1,b_per,34.0
1613308796,lightftp,aflnet,1,b_abs,275
1613308815,lightftp,aflnet,1,l_per,52.3
1613308815,lightftp,aflnet,1,l_abs,589
1613308815,lightftp,aflnet,1,b_per,34.2
1613308815,lightftp,aflnet,1,b_abs,277
1613308838,lightftp,aflnet,1,l_per,52.9
1613308838,lightftp,aflnet,1,l_abs,596
1613308838,lightftp,aflnet,1,b_per,34.9
1613308838,lightftp,aflnet,1,b_abs,282
