time,subject,fuzzer,run,cov_type,cov
1613476071,lightftp,aflnet,1,l_per,37.0
1613476071,lightftp,aflnet,1,l_abs,417
1613476071,lightftp,aflnet,1,b_per,20.3
1613476071,lightftp,aflnet,1,b_abs,164
1613476072,lightftp,aflnet,1,l_per,38.9
1613476072,lightftp,aflnet,1,l_abs,438
1613476072,lightftp,aflnet,1,b_per,22.5
1613476072,lightftp,aflnet,1,b_abs,182
1613476077,lightftp,aflnet,1,l_per,39.4
1613476077,lightftp,aflnet,1,l_abs,444
1613476077,lightftp,aflnet,1,b_per,23.7
1613476077,lightftp,aflnet,1,b_abs,192
1613476082,lightftp,aflnet,1,l_per,39.5
1613476082,lightftp,aflnet,1,l_abs,445
1613476082,lightftp,aflnet,1,b_per,24.4
1613476082,lightftp,aflnet,1,b_abs,197
1613476091,lightftp,aflnet,1,l_per,39.8
1613476091,lightftp,aflnet,1,l_abs,448
1613476091,lightftp,aflnet,1,b_per,24.6
1613476091,lightftp,aflnet,1,b_abs,199
1613476109,lightftp,aflnet,1,l_per,40.3
1613476109,lightftp,aflnet,1,l_abs,454
1613476109,lightftp,aflnet,1,b_per,24.8
1613476109,lightftp,aflnet,1,b_abs,201
1613476118,lightftp,aflnet,1,l_per,41.4
1613476118,lightftp,aflnet,1,l_abs,467
1613476118,lightftp,aflnet,1,b_per,25.3
1613476118,lightftp,aflnet,1,b_abs,205
1613476127,lightftp,aflnet,1,l_per,42.2
1613476127,lightftp,aflnet,1,l_abs,476
1613476127,lightftp,aflnet,1,b_per,25.7
1613476127,lightftp,aflnet,1,b_abs,208
1613476145,lightftp,aflnet,1,l_per,42.9
1613476145,lightftp,aflnet,1,l_abs,484
1613476145,lightftp,aflnet,1,b_per,26.0
1613476145,lightftp,aflnet,1,b_abs,210
1613476155,lightftp,aflnet,1,l_per,43.2
1613476155,lightftp,aflnet,1,l_abs,487
1613476155,lightftp,aflnet,1,b_per,26.1
1613476155,lightftp,aflnet,1,b_abs,211
1613476160,lightftp,aflnet,1,l_per,43.2
1613476160,lightftp,aflnet,1,l_abs,487
1613476160,lightftp,aflnet,1,b_per,26.1
1613476160,lightftp,aflnet,1,b_abs,211
1613476170,lightftp,aflnet,1,l_per,43.2
1613476170,lightftp,aflnet,1,l_abs,487
1613476170,lightftp,aflnet,1,b_per,26.1
1613476170,lightftp,aflnet,1,b_abs,211
1613476187,lightftp,aflnet,1,l_per,43.4
1613476187,lightftp,aflnet,1,l_abs,489
1613476187,lightftp,aflnet,1,b_per,26.2
1613476187,lightftp,aflnet,1,b_abs,212
1613476211,lightftp,aflnet,1,l_per,43.9
1613476211,lightftp,aflnet,1,l_abs,495
1613476211,lightftp,aflnet,1,b_per,26.5
1613476211,lightftp,aflnet,1,b_abs,214
1613476230,lightftp,aflnet,1,l_per,44.2
1613476230,lightftp,aflnet,1,l_abs,498
1613476230,lightftp,aflnet,1,b_per,26.6
1613476230,lightftp,aflnet,1,b_abs,215
1613476264,lightftp,aflnet,1,l_per,44.6
1613476264,lightftp,aflnet,1,l_abs,503
1613476264,lightftp,aflnet,1,b_per,26.8
1613476264,lightftp,aflnet,1,b_abs,217
1613476289,lightftp,aflnet,1,l_per,45.3
1613476289,lightftp,aflnet,1,l_abs,511
1613476289,lightftp,aflnet,1,b_per,27.1
1613476289,lightftp,aflnet,1,b_abs,219
1613476327,lightftp,aflnet,1,l_per,45.3
1613476327,lightftp,aflnet,1,l_abs,511
1613476327,lightftp,aflnet,1,b_per,27.1
1613476327,lightftp,aflnet,1,b_abs,219
1613476379,lightftp,aflnet,1,l_per,45.7
1613476379,lightftp,aflnet,1,l_abs,515
1613476379,lightftp,aflnet,1,b_per,27.4
1613476379,lightftp,aflnet,1,b_abs,222
1613476406,lightftp,aflnet,1,l_per,48.1
1613476406,lightftp,aflnet,1,l_abs,542
1613476406,lightftp,aflnet,1,b_per,29.3
1613476406,lightftp,aflnet,1,b_abs,237
1613476413,lightftp,aflnet,1,l_per,48.1
1613476413,lightftp,aflnet,1,l_abs,542
1613476413,lightftp,aflnet,1,b_per,29.3
1613476413,lightftp,aflnet,1,b_abs,237
1613476422,lightftp,aflnet,1,l_per,48.3
1613476422,lightftp,aflnet,1,l_abs,544
1613476422,lightftp,aflnet,1,b_per,29.5
1613476422,lightftp,aflnet,1,b_abs,239
1613476440,lightftp,aflnet,1,l_per,48.6
1613476440,lightftp,aflnet,1,l_abs,548
1613476440,lightftp,aflnet,1,b_per,30.5
1613476440,lightftp,aflnet,1,b_abs,247
1613476450,lightftp,aflnet,1,l_per,49.5
1613476450,lightftp,aflnet,1,l_abs,558
1613476450,lightftp,aflnet,1,b_per,31.0
1613476450,lightftp,aflnet,1,b_abs,251
1613476461,lightftp,aflnet,1,l_per,49.8
1613476461,lightftp,aflnet,1,l_abs,561
1613476461,lightftp,aflnet,1,b_per,31.5
1613476461,lightftp,aflnet,1,b_abs,255
1613476472,lightftp,aflnet,1,l_per,50.3
1613476472,lightftp,aflnet,1,l_abs,567
1613476472,lightftp,aflnet,1,b_per,32.3
1613476472,lightftp,aflnet,1,b_abs,261
1613476499,lightftp,aflnet,1,l_per,51.2
1613476499,lightftp,aflnet,1,l_abs,577
1613476499,lightftp,aflnet,1,b_per,32.9
1613476499,lightftp,aflnet,1,b_abs,266
1613476525,lightftp,aflnet,1,l_per,51.6
1613476525,lightftp,aflnet,1,l_abs,582
1613476525,lightftp,aflnet,1,b_per,33.3
1613476525,lightftp,aflnet,1,b_abs,269
1613476566,lightftp,aflnet,1,l_per,52.6
1613476566,lightftp,aflnet,1,l_abs,593
1613476566,lightftp,aflnet,1,b_per,34.4
1613476566,lightftp,aflnet,1,b_abs,278
1613476598,lightftp,aflnet,1,l_per,53.1
1613476598,lightftp,aflnet,1,l_abs,598
1613476598,lightftp,aflnet,1,b_per,35.1
1613476598,lightftp,aflnet,1,b_abs,284
1613476613,lightftp,aflnet,1,l_per,53.2
1613476613,lightftp,aflnet,1,l_abs,600
1613476613,lightftp,aflnet,1,b_per,35.4
1613476613,lightftp,aflnet,1,b_abs,286
1613476645,lightftp,aflnet,1,l_per,53.3
1613476645,lightftp,aflnet,1,l_abs,601
1613476645,lightftp,aflnet,1,b_per,35.6
1613476645,lightftp,aflnet,1,b_abs,288
1613476684,lightftp,aflnet,1,l_per,55.9
1613476684,lightftp,aflnet,1,l_abs,630
1613476684,lightftp,aflnet,1,b_per,36.8
1613476684,lightftp,aflnet,1,b_abs,298
1613476737,lightftp,aflnet,1,l_per,55.9
1613476737,lightftp,aflnet,1,l_abs,630
1613476737,lightftp,aflnet,1,b_per,36.8
1613476737,lightftp,aflnet,1,b_abs,298
1613476774,lightftp,aflnet,1,l_per,56.3
1613476774,lightftp,aflnet,1,l_abs,635
1613476774,lightftp,aflnet,1,b_per,37.2
1613476774,lightftp,aflnet,1,b_abs,301
1613476838,lightftp,aflnet,1,l_per,56.4
1613476838,lightftp,aflnet,1,l_abs,636
1613476838,lightftp,aflnet,1,b_per,37.3
1613476838,lightftp,aflnet,1,b_abs,302
1613476940,lightftp,aflnet,1,l_per,56.9
1613476940,lightftp,aflnet,1,l_abs,641
1613476940,lightftp,aflnet,1,b_per,37.7
1613476940,lightftp,aflnet,1,b_abs,305
1613477018,lightftp,aflnet,1,l_per,57.1
1613477018,lightftp,aflnet,1,l_abs,643
1613477018,lightftp,aflnet,1,b_per,37.9
1613477018,lightftp,aflnet,1,b_abs,307
1613477060,lightftp,aflnet,1,l_per,57.1
1613477060,lightftp,aflnet,1,l_abs,643
1613477060,lightftp,aflnet,1,b_per,38.1
1613477060,lightftp,aflnet,1,b_abs,308
1613477223,lightftp,aflnet,1,l_per,57.1
1613477223,lightftp,aflnet,1,l_abs,643
1613477223,lightftp,aflnet,1,b_per,38.1
1613477223,lightftp,aflnet,1,b_abs,308
1613477263,lightftp,aflnet,1,l_per,57.4
1613477263,lightftp,aflnet,1,l_abs,647
1613477263,lightftp,aflnet,1,b_per,38.3
1613477263,lightftp,aflnet,1,b_abs,310
1613477427,lightftp,aflnet,1,l_per,57.6
1613477427,lightftp,aflnet,1,l_abs,649
1613477427,lightftp,aflnet,1,b_per,38.6
1613477427,lightftp,aflnet,1,b_abs,312
1613477503,lightftp,aflnet,1,l_per,57.6
1613477503,lightftp,aflnet,1,l_abs,649
1613477503,lightftp,aflnet,1,b_per,38.6
1613477503,lightftp,aflnet,1,b_abs,312
1613477545,lightftp,aflnet,1,l_per,57.6
1613477545,lightftp,aflnet,1,l_abs,649
1613477545,lightftp,aflnet,1,b_per,38.6
1613477545,lightftp,aflnet,1,b_abs,312
1613477641,lightftp,aflnet,1,l_per,57.6
1613477641,lightftp,aflnet,1,l_abs,649
1613477641,lightftp,aflnet,1,b_per,38.6
1613477641,lightftp,aflnet,1,b_abs,312
1613477660,lightftp,aflnet,1,l_per,57.7
1613477660,lightftp,aflnet,1,l_abs,650
1613477660,lightftp,aflnet,1,b_per,38.7
1613477660,lightftp,aflnet,1,b_abs,313
1613477720,lightftp,aflnet,1,l_per,57.8
1613477720,lightftp,aflnet,1,l_abs,651
1613477720,lightftp,aflnet,1,b_per,38.8
1613477720,lightftp,aflnet,1,b_abs,314
1613477782,lightftp,aflnet,1,l_per,57.8
1613477782,lightftp,aflnet,1,l_abs,651
1613477782,lightftp,aflnet,1,b_per,38.8
1613477782,lightftp,aflnet,1,b_abs,314
1613477869,lightftp,aflnet,1,l_per,57.9
1613477869,lightftp,aflnet,1,l_abs,653
1613477869,lightftp,aflnet,1,b_per,39.1
1613477869,lightftp,aflnet,1,b_abs,316
1613478083,lightftp,aflnet,1,l_per,58.3
1613478083,lightftp,aflnet,1,l_abs,658
1613478083,lightftp,aflnet,1,b_per,39.4
1613478083,lightftp,aflnet,1,b_abs,319
1613478126,lightftp,aflnet,1,l_per,58.3
1613478126,lightftp,aflnet,1,l_abs,658
1613478126,lightftp,aflnet,1,b_per,39.4
1613478126,lightftp,aflnet,1,b_abs,319
1613478298,lightftp,aflnet,1,l_per,58.3
1613478298,lightftp,aflnet,1,l_abs,658
1613478298,lightftp,aflnet,1,b_per,39.4
1613478298,lightftp,aflnet,1,b_abs,319
1613478638,lightftp,aflnet,1,l_per,58.4
1613478638,lightftp,aflnet,1,l_abs,659
1613478638,lightftp,aflnet,1,b_per,39.7
1613478638,lightftp,aflnet,1,b_abs,321
1613478917,lightftp,aflnet,1,l_per,58.4
1613478917,lightftp,aflnet,1,l_abs,659
1613478917,lightftp,aflnet,1,b_per,39.7
1613478917,lightftp,aflnet,1,b_abs,321
1613479128,lightftp,aflnet,1,l_per,58.4
1613479128,lightftp,aflnet,1,l_abs,659
1613479128,lightftp,aflnet,1,b_per,39.7
1613479128,lightftp,aflnet,1,b_abs,321
1613479607,lightftp,aflnet,1,l_per,58.4
1613479607,lightftp,aflnet,1,l_abs,659
1613479607,lightftp,aflnet,1,b_per,39.7
1613479607,lightftp,aflnet,1,b_abs,321
1613479979,lightftp,aflnet,1,l_per,58.4
1613479979,lightftp,aflnet,1,l_abs,659
1613479979,lightftp,aflnet,1,b_per,39.7
1613479979,lightftp,aflnet,1,b_abs,321
1613480483,lightftp,aflnet,1,l_per,58.4
1613480483,lightftp,aflnet,1,l_abs,659
1613480483,lightftp,aflnet,1,b_per,39.7
1613480483,lightftp,aflnet,1,b_abs,321
1613480561,lightftp,aflnet,1,l_per,58.4
1613480561,lightftp,aflnet,1,l_abs,659
1613480561,lightftp,aflnet,1,b_per,39.7
1613480561,lightftp,aflnet,1,b_abs,321
1613480821,lightftp,aflnet,1,l_per,58.4
1613480821,lightftp,aflnet,1,l_abs,659
1613480821,lightftp,aflnet,1,b_per,39.7
1613480821,lightftp,aflnet,1,b_abs,321
1613481361,lightftp,aflnet,1,l_per,58.4
1613481361,lightftp,aflnet,1,l_abs,659
1613481361,lightftp,aflnet,1,b_per,39.7
1613481361,lightftp,aflnet,1,b_abs,321
1613481837,lightftp,aflnet,1,l_per,58.4
1613481837,lightftp,aflnet,1,l_abs,659
1613481837,lightftp,aflnet,1,b_per,39.7
1613481837,lightftp,aflnet,1,b_abs,321
1613482340,lightftp,aflnet,1,l_per,58.5
1613482340,lightftp,aflnet,1,l_abs,660
1613482340,lightftp,aflnet,1,b_per,39.8
1613482340,lightftp,aflnet,1,b_abs,322
1613482598,lightftp,aflnet,1,l_per,58.5
1613482598,lightftp,aflnet,1,l_abs,660
1613482598,lightftp,aflnet,1,b_per,39.8
1613482598,lightftp,aflnet,1,b_abs,322
1613482918,lightftp,aflnet,1,l_per,58.5
1613482918,lightftp,aflnet,1,l_abs,660
1613482918,lightftp,aflnet,1,b_per,39.8
1613482918,lightftp,aflnet,1,b_abs,322
1613483374,lightftp,aflnet,1,l_per,58.5
1613483374,lightftp,aflnet,1,l_abs,660
1613483374,lightftp,aflnet,1,b_per,39.8
1613483374,lightftp,aflnet,1,b_abs,322
1613484188,lightftp,aflnet,1,l_per,61.8
1613484188,lightftp,aflnet,1,l_abs,697
1613484188,lightftp,aflnet,1,b_per,41.4
1613484188,lightftp,aflnet,1,b_abs,335
1613484925,lightftp,aflnet,1,l_per,61.8
1613484925,lightftp,aflnet,1,l_abs,697
1613484925,lightftp,aflnet,1,b_per,41.4
1613484925,lightftp,aflnet,1,b_abs,335
1613485063,lightftp,aflnet,1,l_per,61.8
1613485063,lightftp,aflnet,1,l_abs,697
1613485063,lightftp,aflnet,1,b_per,41.4
1613485063,lightftp,aflnet,1,b_abs,335
1613486047,lightftp,aflnet,1,l_per,61.8
1613486047,lightftp,aflnet,1,l_abs,697
1613486047,lightftp,aflnet,1,b_per,41.4
1613486047,lightftp,aflnet,1,b_abs,335
1613486431,lightftp,aflnet,1,l_per,61.8
1613486431,lightftp,aflnet,1,l_abs,697
1613486431,lightftp,aflnet,1,b_per,41.4
1613486431,lightftp,aflnet,1,b_abs,335
1613487461,lightftp,aflnet,1,l_per,61.8
1613487461,lightftp,aflnet,1,l_abs,697
1613487461,lightftp,aflnet,1,b_per,41.4
1613487461,lightftp,aflnet,1,b_abs,335
1613488896,lightftp,aflnet,1,l_per,62.1
1613488896,lightftp,aflnet,1,l_abs,700
1613488896,lightftp,aflnet,1,b_per,41.5
1613488896,lightftp,aflnet,1,b_abs,336
1613488968,lightftp,aflnet,1,l_per,62.1
1613488968,lightftp,aflnet,1,l_abs,700
1613488968,lightftp,aflnet,1,b_per,41.5
1613488968,lightftp,aflnet,1,b_abs,336
1613489889,lightftp,aflnet,1,l_per,62.3
1613489889,lightftp,aflnet,1,l_abs,703
1613489889,lightftp,aflnet,1,b_per,41.7
1613489889,lightftp,aflnet,1,b_abs,337
1613490654,lightftp,aflnet,1,l_per,62.3
1613490654,lightftp,aflnet,1,l_abs,703
1613490654,lightftp,aflnet,1,b_per,41.7
1613490654,lightftp,aflnet,1,b_abs,337
1613491688,lightftp,aflnet,1,l_per,62.3
1613491688,lightftp,aflnet,1,l_abs,703
1613491688,lightftp,aflnet,1,b_per,41.7
1613491688,lightftp,aflnet,1,b_abs,337
1613493310,lightftp,aflnet,1,l_per,62.3
1613493310,lightftp,aflnet,1,l_abs,703
1613493310,lightftp,aflnet,1,b_per,41.7
1613493310,lightftp,aflnet,1,b_abs,337
1613495196,lightftp,aflnet,1,l_per,62.3
1613495196,lightftp,aflnet,1,l_abs,703
1613495196,lightftp,aflnet,1,b_per,41.7
1613495196,lightftp,aflnet,1,b_abs,337
1613500031,lightftp,aflnet,1,l_per,62.6
1613500031,lightftp,aflnet,1,l_abs,706
1613500031,lightftp,aflnet,1,b_per,41.9
